document,method,path,status,mcp_family,capability,rule
app-connections/netlify/available.mdx,GET,/api/v1/app-connections/netlify/available,superseded,appConnections,appConnections.read,app-connections-provider-availability-superseded
app-connections/netlify/create.mdx,POST,/api/v1/app-connections/netlify,intentionally_omitted,appConnections,appConnections.otherProviders.admin,app-connections-other-providers-omitted
app-connections/netlify/delete.mdx,DELETE,/api/v1/app-connections/netlify/{connectionId},intentionally_omitted,appConnections,appConnections.otherProviders.admin,app-connections-other-providers-omitted
app-connections/netlify/get-by-id.mdx,GET,/api/v1/app-connections/netlify/{connectionId},superseded,appConnections,appConnections.read,app-connections-provider-id-read-superseded
app-connections/netlify/get-by-name.mdx,GET,/api/v1/app-connections/netlify/connection-name/{connectionName},superseded,appConnections,appConnections.read,app-connections-provider-name-read-superseded
app-connections/netlify/list.mdx,GET,/api/v1/app-connections/netlify,superseded,appConnections,appConnections.read,app-connections-provider-list-superseded
app-connections/netlify/update.mdx,PATCH,/api/v1/app-connections/netlify/{connectionId},intentionally_omitted,appConnections,appConnections.otherProviders.admin,app-connections-other-providers-omitted
app-connections/netscaler/available.mdx,GET,/api/v1/app-connections/netscaler/available,superseded,appConnections,appConnections.read,app-connections-provider-availability-superseded
app-connections/netscaler/create.mdx,POST,/api/v1/app-connections/netscaler,intentionally_omitted,appConnections,appConnections.otherProviders.admin,app-connections-other-providers-omitted
app-connections/netscaler/delete.mdx,DELETE,/api/v1/app-connections/netscaler/{connectionId},intentionally_omitted,appConnections,appConnections.otherProviders.admin,app-connections-other-providers-omitted
app-connections/netscaler/get-by-id.mdx,GET,/api/v1/app-connections/netscaler/{connectionId},superseded,appConnections,appConnections.read,app-connections-provider-id-read-superseded
app-connections/netscaler/get-by-name.mdx,GET,/api/v1/app-connections/netscaler/connection-name/{connectionName},superseded,appConnections,appConnections.read,app-connections-provider-name-read-superseded
app-connections/netscaler/list.mdx,GET,/api/v1/app-connections/netscaler,superseded,appConnections,appConnections.read,app-connections-provider-list-superseded
app-connections/netscaler/update.mdx,PATCH,/api/v1/app-connections/netscaler/{connectionId},intentionally_omitted,appConnections,appConnections.otherProviders.admin,app-connections-other-providers-omitted
app-connections/northflank/available.mdx,GET,/api/v1/app-connections/northflank/available,superseded,appConnections,appConnections.read,app-connections-provider-availability-superseded
app-connections/northflank/create.mdx,POST,/api/v1/app-connections/northflank,intentionally_omitted,appConnections,appConnections.otherProviders.admin,app-connections-other-providers-omitted
